brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,Number of Ratings,Number of Reviews
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,34649,3,0
Lenovo,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,38999,65,5
Lenovo,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,39999,8,1
ASUS,Intel,Core i5,10th,8 GB,512 GB,0 GB,Windows,32-bit,2 GB,69990,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,26990,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,22990,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,21990,31,3
ASUS,Intel,Core i5,10th,8 GB,0 GB,1024 GB,Windows,32-bit,2 GB,58799,0,0
Lenovo,Intel,Core i5,10th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,49999,0,0
acer,AMD,Ryzen 5,10th,4 GB,0 GB,512 GB,Windows,32-bit,4 GB,59990,1946,240
acer,AMD,Ryzen 5,10th,4 GB,0 GB,512 GB,Windows,32-bit,6 GB,93700,259,47
acer,AMD,Ryzen 5,10th,4 GB,0 GB,512 GB,Windows,32-bit,4 GB,72990,425,67
Avita,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,17490,1120,196
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,35990,0,0
HP,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,56490,0,0
HP,Intel,Core i5,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,65390,0,0
Lenovo,Intel,Celeron Dual,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,31999,286,19
HP,Intel,Celeron Dual,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,32490,58,6
Lenovo,Intel,Celeron Dual,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,31799,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,29890,7,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,23990,15279,1947
HP,Intel,Core i3,7th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,32955,311,27
HP,Intel,Core i5,7th,4 GB,0 GB,1024 GB,Windows,32-bit,2 GB,46200,47,7
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,34429,37,6
Lenovo,Intel,Core i3,10th,8 GB,256 GB,0 GB,Windows,32-bit,0 GB,37990,2080,235
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,35990,1479,181
ASUS,Intel,Core i3,10th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,33980,67,3
HP,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,39990,273,30
DELL,Intel,Core i3,10th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,39490,1267,171
HP,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,53990,14,0
acer,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,38990,0,0
ASUS,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,37990,284,39
ASUS,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,37890,44,5
Lenovo,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,38990,33,4
Lenovo,Intel,Core i3,10th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,37990,286,36
DELL,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,41990,10,5
ASUS,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,45990,816,147
Lenovo,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,39990,543,65
